Designator,Footprint,Quantity,Value,LCSC Part #
AE1,2450AT18D0100,1,2450AT43B0100001E,
"C1, C2",0402,2,1nF,
"C11, C41, C5, C58, C9",0603,5,10uF,
C13,0603,1,22uF,
"C14, C23, C25, C27, C3, C6, C7, C8",0402,8,1uF,
"C15, C26, C29, C30, C31, C32, C33, C34, C35, C36, C4, C42, C43, C44, C45, C48, C57, C65, C66, C68, C72",0402,21,100nF,
C19,0402,1,10nF,
C24,0402,1,2.2nF,
"C28, C47, C70",0603,3,4.7uF,
"C37, C40",0603,2,1uF,
C38,0402,1,0.7pF C0G,
"C46, C51, C52, C53, C54, C55, C56, C59, C60, C63, C64, C67, C69, C71",0402,14,2.2uF,
"C49, C50, C61, C62",0603,4,15uF,
D1,SOT-23-6,1,USBLC6-2SC6,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB4105-GF-A,
J2,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,1,Conn_01x03_Pin,
L1,0805,1,2.2uH DFE201210U-1R0M=P2,
L2,0805,1,DFE201210U-1R0M,
"L3, L4",0603,2,10uH,
L5,0402,1,2.2nH,
"R1, R4",0402,2,5.1k 1%,
"R10, R16",0402,2,R,
"R12, R35",0402,2,100k,
R13,0402,1,200k 1%,
"R14, R2, R21, R3, R5, R6",0402,6,100k 1%,
R15,0402,1,560R,
R20,0402,1,330k 1%,
R22,0402,1,0R,
"R23, R24",0402,2,10k,
"R25, R26, R27, R28",0402,4,4.7k,
"R29, R30, R31, R32",0402,4,22R,
"R36, R37",0402,2,2R 1%,
R7,0402,1,2k,
R8,0402,1,200k,
R9,0402,1,160k,
U1,Nordic_AQFN-94-1EP_7x7mm_P0.4mm,1,nRF5340-QKAA,
"U2, U3",TQFN-40-1EP_5x5mm_P0.4mm_EP3.5x3.5mm_ThermalVias,2,CS43131-CNZR / L mono,
U4,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm_ThermalVias,1,ETA6003Q3Q,
U5,LGA-12_2x2mm_P0.5mm,1,SC7A20,
U6,SOT-23-5,1,TLV62568DBVR,
U7,TSOT-23-5,1,RT9080,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz / CL=8pF / 10ppm,
