Designator,Mid X,Mid Y,Rotation,Layer
AE1,198.25,-43.21,0.0,top
C1,213.58,-44.57,90.0,top
C11,167.55,-50.9,180.0,top
C13,175.056251,-62.1125,0.0,top
C14,177.131251,-57.175,180.0,top
C15,230.525,-49.875,180.0,top
C19,215.78,-44.54,90.0,top
C2,214.81,-44.62,90.0,top
C23,189.1,-50.6,90.0,top
C24,188.15,-50.6,90.0,top
C25,183.6,-56.15,270.0,top
C26,185.15,-53.57,90.0,top
C27,186.6,-56.7,270.0,top
C28,185.6,-59.308,180.0,top
C29,187.2,-50.6,90.0,top
C3,216.78,-44.62,90.0,top
C30,191.45,-60.85,270.0,top
C31,186.1364,-58.108,180.0,top
C32,191.05,-50.95,90.0,top
C33,210.86,-44.49,270.0,top
C34,196.05,-58.8,0.0,top
C35,193.7,-50.97,90.0,top
C36,196.05,-56.85,0.0,top
C37,188.75,-61.375,270.0,top
C38,190.58,-49.55,0.0,top
C4,173.0,-54.5,270.0,top
C40,190.25,-61.4,270.0,top
C41,215.0,-57.875,90.0,top
C42,217.05,-60.275,270.0,top
C43,226.0,-56.175,0.0,top
C44,223.15,-52.525,90.0,top
C45,217.85,-55.875,180.0,top
C46,224.1,-52.525,90.0,top
C47,226.45,-54.025,0.0,top
C48,226.0,-55.225,0.0,top
C49,216.5,-57.875,90.0,top
C5,174.456251,-59.8625,270.0,top
C50,218.0,-57.875,90.0,top
C51,218.0,-60.275,270.0,top
C52,219.15,-60.275,270.0,top
C53,226.0,-57.125,0.0,top
C54,226.0,-58.075,0.0,top
C55,226.0,-59.025,0.0,top
C56,223.48,-60.15,0.0,top
C57,202.826,-60.275,270.0,top
C58,200.8,-57.9,90.0,top
C59,209.256,-60.15,0.0,top
C6,175.281251,-57.175,180.0,top
C60,203.776,-60.275,270.0,top
C61,202.276,-57.875,90.0,top
C62,203.776,-57.875,90.0,top
C63,211.776,-59.025,0.0,top
C64,204.926,-60.275,270.0,top
C65,208.926,-52.525,90.0,top
C66,203.626,-55.875,180.0,top
C67,209.876,-52.525,90.0,top
C68,211.776,-56.175,0.0,top
C69,211.776,-57.125,0.0,top
C7,194.2,-60.4,180.0,top
C70,212.226,-54.025,0.0,top
C71,211.776,-58.075,0.0,top
C72,211.776,-55.225,0.0,top
C8,200.15,-60.25,0.0,top
C9,178.1775,-50.925,0.0,top
D1,175.65,-54.55,0.0,top
J1,167.0,-57.0,270.0,top
J2,180.9,-53.4,90.0,bottom
J5,223.771075,-46.223075,180.0,top
L1,170.7875,-50.755,180.0,top
L2,172.856251,-61.1125,90.0,top
L3,186.35,-53.9,90.0,top
L4,184.85,-56.15,90.0,top
L5,190.1,-50.95,270.0,top
R1,173.0,-57.5,0.0,top
R10,193.79,-44.81,180.0,top
R12,177.6275,-49.725,0.0,top
R13,177.6,-47.8,0.0,top
R14,177.6275,-48.775,180.0,top
R15,180.456251,-59.9125,0.0,top
R16,178.156251,-62.4,180.0,top
R2,214.11,-46.71,90.0,top
R20,211.76,-46.93,90.0,top
R21,210.71,-46.93,90.0,top
R22,190.1,-48.14,270.0,top
R23,192.75,-50.95,270.0,top
R24,197.99,-59.0,0.0,top
R25,198.45,-55.05,270.0,top
R26,197.45,-55.05,270.0,top
R27,197.99,-57.05,0.0,top
R28,197.9784,-58.0076,0.0,top
R29,196.05,-52.65,0.0,top
R3,215.22,-46.62,90.0,top
R30,196.05,-51.7,0.0,top
R31,196.05,-53.6,0.0,top
R32,196.05,-55.5,0.0,top
R35,212.18,-44.64,90.0,top
R36,216.1,-60.325,90.0,top
R37,201.876,-60.325,90.0,top
R4,172.84,-52.38,0.0,top
R5,216.36,-46.7,90.0,top
R6,212.98,-46.86,90.0,top
R7,180.456251,-58.9625,0.0,top
R8,200.17,-61.2,180.0,top
R9,200.15,-62.15,0.0,top
TP1,221.33,-61.6,90.0,bottom
TP2,224.83,-61.6,90.0,bottom
TP3,207.18,-61.55,270.0,bottom
TP4,210.68,-61.55,270.0,bottom
U1,191.1,-55.9,90.0,top
U2,221.855,-56.575,0.0,top
U3,207.631,-56.575,0.0,top
U4,177.356251,-59.8,90.0,top
U5,230.58,-51.58,270.0,top
U6,174.6375,-49.95,180.0,top
U7,197.175,-61.2,180.0,top
Y1,185.15,-50.55,180.0,top
